Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.039499,33.059,33.352,0.138,5.054,29.732
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.039340,33.053,33.351,0.113,5.020,29.892
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.069661,16.481,16.677,0.168,1.812,16.218
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.069839,16.421,16.676,0.066,1.706,16.044
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.086644,16.983,16.686,0.197,1.668,15.921
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.086849,17.011,16.687,0.065,1.592,15.721
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.072936,33.437,33.360,0.138,5.190,29.655
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.072795,33.456,33.361,0.097,5.144,29.796
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.120076,33.432,33.356,0.253,1.679,15.845
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.120337,33.488,33.356,0.071,1.497,15.588
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.106402,33.466,33.358,0.132,3.008,29.547
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.106254,33.458,33.358,0.100,2.972,29.696
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,2,0,Hardware: Legacy Flip,0,38.136157,16.082,16.688,0.225,1.025,16.451
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.153280,17.123,16.671,0.226,1.903,15.999
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.153511,33.173,33.359,0.049,1.741,15.774
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.139968,33.567,33.354,0.161,5.055,29.334
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.139817,33.563,33.354,0.101,5.032,29.487
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.169841,16.561,16.693,0.204,1.897,16.131
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.186626,16.785,16.688,0.218,1.704,16.034
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.186848,33.338,33.383,0.050,1.551,15.819
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.173041,33.073,33.409,0.112,5.095,29.670
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.172894,33.077,33.410,0.103,5.059,29.820
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.219976,33.349,33.336,0.211,1.841,16.021
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.220191,33.343,33.333,0.048,1.699,15.810
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.206314,33.272,33.304,0.156,5.109,29.702
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.206161,33.267,33.303,0.107,5.093,29.856
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.236517,16.541,16.690,0.179,1.638,16.170
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.236705,16.514,16.690,0.064,1.520,15.986
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.253386,16.869,16.676,0.229,1.702,15.977
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.253630,16.925,16.676,0.060,1.587,15.736
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.239683,33.369,33.368,0.133,5.100,29.701
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.239541,33.380,33.368,0.097,5.070,29.844
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.269738,16.352,16.680,0.158,1.879,16.305
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.286778,17.040,16.691,0.242,1.685,15.956
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.287028,33.398,33.372,0.066,1.548,15.710
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.273017,33.335,33.376,0.176,5.142,29.742
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.272875,33.334,33.376,0.096,5.068,29.885
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.320209,33.432,33.362,0.234,1.844,15.886
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.320447,33.419,33.363,0.055,1.695,15.654
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.306302,33.285,33.369,0.149,3.424,29.825
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.306161,33.286,33.369,0.096,3.407,29.968
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,2,0,Hardware: Legacy Flip,0,38.336516,16.307,16.676,0.244,0.685,16.255
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.353523,17.007,16.697,0.217,1.539,15.945
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.353745,33.298,33.373,0.055,1.385,15.729
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.339664,33.362,33.372,0.145,3.411,29.835
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.339530,33.370,33.372,0.088,3.379,29.971
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.369975,16.452,16.658,0.206,1.816,16.152
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.386914,16.939,16.676,0.211,2.519,15.888
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.387130,33.384,33.332,0.056,2.376,15.676
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.372981,33.317,33.322,0.134,5.189,29.840
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.372839,33.309,33.322,0.096,5.161,29.983
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.420173,33.259,33.377,0.217,2.405,16.007
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.420401,33.272,33.381,0.104,2.365,15.785
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.406147,33.166,33.405,0.062,4.743,30.080
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.405922,33.083,33.406,0.090,4.780,30.307
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.453491,33.318,33.347,0.236,2.412,16.036
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.453735,33.333,33.343,0.065,2.341,15.795
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.439619,33.472,33.325,0.127,5.082,29.933
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.439468,33.546,33.325,0.098,5.063,30.085
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.486989,33.499,33.363,0.209,2.481,15.900
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.487203,33.468,33.364,0.053,2.341,15.691
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.472813,33.194,33.357,0.131,5.074,30.097
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.472668,33.200,33.357,0.099,5.012,30.242
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.520351,33.362,33.368,0.228,2.406,15.906
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.520583,33.380,33.369,0.054,2.245,15.680
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.506463,33.650,33.388,0.156,5.021,29.835
